eventID,occurrenceID,scientificName,scientificNameID,vernacularName,occurrenceStatus,parentNameUsageID,taxonomicStatus,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,taxonRank,associatedTaxa,associatedOccurrences,basisOfRecord
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0035,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0035:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0035,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0035:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0035,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0035:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0035,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0036,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0036:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0036,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0036:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0036,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0036:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0036,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0036:p:IcD,Ichthyobodo ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0036,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0037,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0037:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0037,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0037:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0037,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0037:p:ic_hof,Ichthyophonus hoferi,urn:lsid:marinespecies.org:taxname:1476517,NA,present,1476516,accepted,"Plehn & Mulsow, 1911",Protozoa,Choanozoa,Ichthyosporea,Eccrinida,Ichthyophonidae,Ichthyophonus,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0037,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0038,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,Coho salmon,present,126140,accepted,"(Walbaum, 1792)",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Species,,,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0038:p:c_b_cys,Candidatus Branchiomonas cysticola,urn:lsid:marinespecies.org:taxname:1476535,NA,present,1476534,accepted,"Toenshoff et al., 2012",Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales incertae sedis,Candidatus Branchiomonas,Species,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0038,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0038:p:hkg,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0038,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0038:p:lo_sal,Loma ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0038,PreservedSpecimen
IYS:GoA2019_Stn10:trawl,IYS:GoA2019_Stn10:trawl:M0038:p:sch,Candidatus Syngnamydia salmonis ,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Pathogen found on"" : ""Coho salmon"" ",Pathogen found on: IYS:GoA2019_Stn10:trawl:M0038,PreservedSpecimen
