eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementValueID,occurrenceID
IYS:GoA2020_Stn:1.0:bongo:Net1,IYS:GoA2020_Stn:1.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:1.0:bongo:Net2,IYS:GoA2020_Stn:1.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:2.0:bongo:Net1,IYS:GoA2020_Stn:2.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:2.0:bongo:Net2,IYS:GoA2020_Stn:2.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:3.0:bongo:Net1,IYS:GoA2020_Stn:3.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:3.0:bongo:Net2,IYS:GoA2020_Stn:3.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:4.0:bongo:Net1,IYS:GoA2020_Stn:4.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:4.0:bongo:Net2,IYS:GoA2020_Stn:4.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:5.0:bongo:Net1,IYS:GoA2020_Stn:5.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
IYS:GoA2020_Stn:5.0:bongo:Net2,IYS:GoA2020_Stn:5.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA,NA
