eventID,occurrenceID,scientificName,measurementRemarks.x,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID,measurementRemarks.y
IYS:GoA2019_Stn1:bongo:Net2:Z53,IYS:GoA2019_Stn1:bongo:Net2:Z53:zoop_occ-1,Animalia,NA,individualCount,1,IYS:GoA2019_Stn1:bongo:Net2:Z53:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z53,IYS:GoA2019_Stn1:bongo:Net2:Z53:zoop_occ-1,Animalia,NA,weight,24.0,IYS:GoA2019_Stn1:bongo:Net2:Z53:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z53,IYS:GoA2019_Stn1:bongo:Net2:Z53:zoop_occ-1,Animalia,NA,length,0.25,IYS:GoA2019_Stn1:bongo:Net2:Z53:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z54,IYS:GoA2019_Stn1:bongo:Net2:Z54:zoop_occ-2,Animalia,NA,individualCount,1,IYS:GoA2019_Stn1:bongo:Net2:Z54:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z54,IYS:GoA2019_Stn1:bongo:Net2:Z54:zoop_occ-2,Animalia,NA,weight,36.6,IYS:GoA2019_Stn1:bongo:Net2:Z54:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z54,IYS:GoA2019_Stn1:bongo:Net2:Z54:zoop_occ-2,Animalia,NA,length,0.5,IYS:GoA2019_Stn1:bongo:Net2:Z54:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z55,IYS:GoA2019_Stn1:bongo:Net2:Z55:zoop_occ-3,Animalia,NA,individualCount,1,IYS:GoA2019_Stn1:bongo:Net2:Z55:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z55,IYS:GoA2019_Stn1:bongo:Net2:Z55:zoop_occ-3,Animalia,NA,weight,18.6,IYS:GoA2019_Stn1:bongo:Net2:Z55:weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600253/,milligram,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z55,IYS:GoA2019_Stn1:bongo:Net2:Z55:zoop_occ-3,Animalia,NA,length,1.0,IYS:GoA2019_Stn1:bongo:Net2:Z55:length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,millimeter,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA,Length type: Size fraction
IYS:GoA2019_Stn1:bongo:Net2:Z56,IYS:GoA2019_Stn1:bongo:Net2:Z56:zoop_occ-4,Animalia,NA,individualCount,1,IYS:GoA2019_Stn1:bongo:Net2:Z56:individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA,Length type: Size fraction
