eventID,eventRemarks,parentEventID,notes,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum,occurrenceID,scientificName,scientificNameID,kingdom,phylum,class,order,family,genus,occurrenceStatus,Preparations,organismQuantity,organismQuantityType,stage,lifeStage,sex,reproductiveCondition,occurrenceRemarks
GoA2019,cruise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn1,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn2,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn3,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn4,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn5,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn6,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn7,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn8,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn9,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn10,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn11,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn12,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn13,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn14,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn15,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn16,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn17,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GoA2019_Stn18,station,GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HumanObservation,EPSG:4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
